restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
Mcdonalds,McDouble,0.149377593,0.125984252,0.127659574,0.170212766,0.125,0.086956522,0.136026381,0.217948718,0.117647059,0.08045977,0.118918919,0.055555556,0.005,0.034482759,Other
Mcdonalds,McRib,0.190871369,0.157480315,0.156028369,0.14893617,0,0.099378882,0.140972795,0.288461538,0.117647059,0.137931034,0.12972973,0.011111111,0.005,0.020689655,Other
Mcdonalds,Pico Guacamole 1/4 lb Burger,0.232365145,0.236220472,0.234042553,0.255319149,0.1875,0.118012422,0.149216818,0.262820513,0.235294118,0.08045977,0.151351351,0.044444444,0.0375,0.051724138,Other
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,0.20746888,0.125984252,0.127659574,0.127659574,0,0.142857143,0.251442704,0.320512821,0.235294118,0.137931034,0.210810811,0.044444444,0.0625,0.103448276,Other
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,0.273858921,0.220472441,0.226950355,0.14893617,0,0.099378882,0.233305853,0.442307692,0.352941176,0.137931034,0.162162162,0.044444444,0.0375,0.103448276,Other
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,0.228215768,0.157480315,0.163120567,0.106382979,0,0.074534161,0.170651278,0.41025641,0.235294118,0.126436782,0.145945946,0.022222222,0.025,0.068965517,Other
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,0.211618257,0.157480315,0.156028369,0.085106383,0,0.055900621,0.162407255,0.378205128,0.176470588,0.149425287,0.12972973,0.033333333,0.025,0.068965517,Other
Mcdonalds,Quarter PounderÂ® with Cheese,0.211618257,0.188976378,0.191489362,0.276595745,0.1875,0.124223602,0.177246496,0.262820513,0.176470588,0.114942529,0.162162162,0.111111111,0.015,0.051724138,Other
Mcdonalds,Signature Sriracha Burger,0.269709544,0.251968504,0.24822695,0.255319149,0.1875,0.118012422,0.164056059,0.358974359,0.235294118,0.149425287,0.167567568,0.111111111,0.0375,0.103448276,Other
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,0.22406639,0.141732283,0.141843972,0.106382979,0,0.142857143,0.253091509,0.358974359,0.235294118,0.16091954,0.216216216,0.111111111,0.0625,0.103448276,Other
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,0.294605809,0.236220472,0.234042553,0.14893617,0,0.099378882,0.233305853,0.480769231,0.294117647,0.149425287,0.167567568,0.111111111,0.05,0.103448276,Other
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,0.278008299,0.267716535,0.262411348,0.29787234,0.1875,0.136645963,0.213520198,0.326923077,0.176470588,0.16091954,0.2,0.033333333,0.0375,0.051724138,Other
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,0.253112033,0.157480315,0.156028369,0.14893617,0,0.167701863,0.315746084,0.391025641,0.235294118,0.206896552,0.254054054,0.022222222,0.075,0.086206897,Other
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,0.323651452,0.251968504,0.255319149,0.191489362,0.0625,0.118012422,0.297609233,0.512820513,0.294117647,0.206896552,0.205405405,0.022222222,0.05,0.103448276,Other
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,0.145228216,0.149606299,0.14893617,0.074468085,0,0.086956522,0.147568013,0.102564103,0,0,0.145945946,0,0,0.006896552,Other
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,0.190871369,0.196850394,0.19858156,0.095744681,0,0.118012422,0.210222589,0.134615385,0,0.011494253,0.2,0,0,0.006896552,Other
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,0.307053942,0.307086614,0.312056738,0.170212766,0.0625,0.180124224,0.309150866,0.205128205,0.058823529,0.011494253,0.308108108,0,0,0.006896552,Other
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,0.493775934,0.496062992,0.496453901,0.255319149,0.125,0.298136646,0.530090684,0.333333333,0.058823529,0.045977011,0.502702703,0,0,0.013793103,Other
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,0.618257261,0.622047244,0.624113475,0.319148936,0.125,0.366459627,0.619126134,0.41025641,0.058823529,0.022988506,0.616216216,0,0.005,0.020689655,Other
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,1,1,1,0.510638298,0.25,0.590062112,1,0.66025641,0.117647059,0.034482759,1,0,0.005,0.027586207,Other
Mcdonalds,4 Piece Chicken McNuggets,0.066390041,0.078740157,0.078014184,0.042553191,0,0.037267081,0.05358615,0.070512821,0.058823529,0,0.048648649,0,0.005,0,Other
Mcdonalds,6 Piece Chicken McNuggets,0.10373444,0.11023622,0.113475177,0.053191489,0,0.055900621,0.081615829,0.102564103,0.058823529,0,0.075675676,0,0.005,0,Other
Mcdonalds,10 Piece Chicken McNuggets,0.174273859,0.188976378,0.191489362,0.095744681,0,0.093167702,0.136026381,0.166666667,0.117647059,0,0.124324324,0,0.01,0.006896552,Other
Mcdonalds,20 Piece Chicken McNuggets,0.360995851,0.377952756,0.375886525,0.191489362,0,0.180124224,0.274525969,0.33974359,0.235294118,0,0.259459459,0,0.02,0.013793103,Other
Mcdonalds,40 piece Chicken McNuggets,0.726141079,0.755905512,0.758865248,0.382978723,0.0625,0.366459627,0.553173949,0.673076923,0.411764706,0.011494253,0.524324324,0,0.0375,0.020689655,Other
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,0.257261411,0.188976378,0.191489362,0.085106383,0,0.130434783,0.291014015,0.403846154,0.117647059,0.402298851,0.205405405,0.022222222,0.0375,0.013793103,Other
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,0.390041494,0.283464567,0.283687943,0.127659574,0,0.198757764,0.437757626,0.602564103,0.176470588,0.597701149,0.308108108,0.022222222,0.0625,0.027586207,Other
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,0.65560166,0.472440945,0.468085106,0.212765957,0,0.329192547,0.731244847,1,0.294117647,1,0.518918919,0.044444444,0.1,0.034482759,Other
Mcdonalds,Premium Asian Salad w/o Chicken,0.049792531,0.05511811,0.04964539,0.010638298,0,0,0.000824402,0.083333333,0.294117647,0.08045977,0.032432432,1,0.1125,0.034482759,Other
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,0.10373444,0.062992126,0.063829787,0.021276596,0,0.099378882,0.119538335,0.115384615,0.294117647,0.114942529,0.162162162,1,0.175,0.034482759,Other
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,0.195020747,0.196850394,0.19858156,0.170212766,0,0.118012422,0.18219291,0.179487179,0.235294118,0.045977011,0.172972973,1,0.15,0.051724138,Other
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,0.070539419,0.086614173,0.085106383,0.106382979,0,0.049689441,0.106347898,0.057692308,0.176470588,0.034482759,0.07027027,1,0.125,0.051724138,Other
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,0.124481328,0.094488189,0.09929078,0.127659574,0,0.055900621,0.200329761,0.057692308,0.176470588,0.045977011,0.221621622,1,0.15,0.051724138,Other
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,0.195020747,0.196850394,0.19858156,0.170212766,0,0.118012422,0.18219291,0.179487179,0.235294118,0.045977011,0.172972973,1,0.15,0.051724138,Other
Mcdonalds,Premium Southwest Salad w/o Chicken,0.082987552,0.070866142,0.070921986,0.074468085,0,0.01863354,0.079967024,0.166666667,0.352941176,0.103448276,0.037837838,1,0.1,0.068965517,Other
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,0.136929461,0.078740157,0.085106383,0.095744681,0,0.136645963,0.173948887,0.173076923,0.352941176,0.103448276,0.194594595,1,0.125,0.068965517,Other
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,0.20746888,0.181102362,0.177304965,0.127659574,0,0.093167702,0.155812036,0.294871795,0.470588235,0.103448276,0.145945946,1,0.1,0.068965517,Other
